fecha_conferencia,titulo,es_estenografica,es_mananera,url,fecha_publicacion,archivo,descargado,caracteres
2026-06-26,"Versión estenográfica. Beca Rita Cetina. Tapachula, Chiapas",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-beca-rita-cetina-tapachula-chiapas,2026-06-26T21:35:00Z,NA,FALSE,NA
2026-06-26,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 26 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-26-de-junio-de-2026,2026-06-26T17:40:00Z,mananeras/txt/2026-06-26_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-26-de-junio-de-2026.txt,TRUE,73701
2026-06-25,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 25 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-25-de-junio-de-2026,2026-06-25T18:58:00Z,mananeras/txt/2026-06-25_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-25-de-junio-de-2026.txt,TRUE,87927
2026-06-24,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 24 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-24-de-junio-de-2026,2026-06-24T16:27:00Z,mananeras/txt/2026-06-24_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-24-de-junio-de-2026.txt,TRUE,92188
2026-06-23,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 23 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-23-de-junio-de-2026,2026-06-23T14:32:00Z,mananeras/txt/2026-06-23_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-23-de-junio-de-2026.txt,TRUE,88856
2026-06-22,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 22 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-22-de-junio-de-2026,2026-06-22T16:14:00Z,mananeras/txt/2026-06-22_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-22-de-junio-de-2026.txt,TRUE,80718
2026-06-21,"Versión estenográfica. Inauguración: Central de Ciclo Combinado. Mexicali, Baja California",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-inauguracion-central-de-ciclo-combinado-mexicali-baja-california,2026-06-21T20:49:00Z,NA,FALSE,NA
2026-06-20,"Versión estenográfica. Beca Rita Cetina. Tijuana, Baja California",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-beca-rita-cetina-tijuana-baja-california,2026-06-20T22:41:00Z,NA,FALSE,NA
2026-06-20,"Versión estenográfica. Inauguración de Bachillerato Nacional. Tijuana, Baja California",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-inauguracion-de-bachillerato-nacional-tijuana-baja-california,2026-06-20T18:19:00Z,NA,FALSE,NA
2026-06-20,"Versión estenográfica. Plan de Justicia para Trabajadores Agrícolas. San Quintín, Baja California",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-plan-de-justicia-para-trabajadores-agricolas-san-quintin-baja-california,2026-06-20T00:34:00Z,NA,FALSE,NA
