cvegeo,year,ingreso,ponderador
10010,2020,13175.31154519627,1185
10011,2020,12712.1112629496,1440
10012,2020,16672.77716039063,44713
10013,2020,15303.14855985503,6935
10014,2020,6511.672798805666,9316
10015,2020,12311.7532888998,3521
10016,2020,13275.69650935823,5296
10017,2020,15201.43005425363,2646
10018,2020,14967.06470856087,3258
10019,2020,10585.9055197305,1153
10020,2020,12896.82735097433,3621
10021,2020,11703.71377911787,3026
10022,2020,14072.99000268543,6855
10023,2020,13334.09000193413,12062
10024,2020,10896.09177771723,3471
10025,2020,12576.04842969016,977
10026,2020,10587.0051733302,4522
10027,2020,9681.708397137534,1473
10028,2020,12209.43493017626,3124
10029,2020,10641.8607937137,590
10030,2020,10038.3843126041,491
10031,2020,11766.66103999047,1886
10032,2020,15281.1840015546,13559
10033,2020,12614.4215916906,1859
10034,2020,12353.9345600766,6103
10035,2020,15122.28667875453,3471
10036,2020,14038.10676698057,5686
10037,2020,11692.79079995187,2310
10038,2020,15140.5025450174,6363
10039,2020,16269.68809325357,7429
11001,2020,14670.84939313613,22275
11002,2020,14417.89359217087,30171
11003,2020,16767.65010129,44543
11004,2020,14084.04147172597,16165
11005,2020,16311.7971185618,31264
11006,2020,9301.372889179267,1558
11007,2020,17282.79712633026,143420
11008,2020,12459.7484972028,11183
11009,2020,12983.5181635307,19536
11010,2020,12175.95642825237,3133
11011,2020,14093.2338717757,25373
11012,2020,12986.75383833,8160
11013,2020,14068.48181680517,6761
11014,2020,13985.00008256487,38964
11015,2020,17922.0068896322,51675
11016,2020,11272.60800563517,5372
11017,2020,17598.0114042468,151888
11018,2020,14284.9156151738,9994
11019,2020,12291.63052755243,13760
11020,2020,18120.46878092817,440662
11021,2020,16511.7389936684,14271
11022,2020,12934.97278375667,6134
11023,2020,13244.053009408,39604
11024,2020,13406.4810158415,3281
11025,2020,14370.85569027457,19865
11026,2020,10517.59834708737,16202
11027,2020,15424.4172845189,74971
11028,2020,11183.80492966717,25786
11029,2020,12912.11818704317,10165
11030,2020,13080.87811582513,27991
11031,2020,16198.08161802033,32211
11032,2020,17768.74747634227,22741
11033,2020,14989.565472504,30386
11034,2020,12206.38279123423,1550
11035,2020,14135.31094033487,19426
11036,2020,14385.96240072573,2002
11037,2020,15804.54795256863,46602
11038,2020,14629.5309216065,3189
11039,2020,13513.85070909287,10193
11040,2020,10189.6742892542,4904
11041,2020,15013.37818839617,17350
11042,2020,14461.7638999142,37795
11043,2020,10780.9337957936,5471
11044,2020,14806.8374223682,16398
11045,2020,9402.291942807968,3011
11046,2020,13850.94740931467,19175
