cvegeo,year,ingreso,ponderador
10003,2022,10576.24441090963,1057
10004,2022,17787.23181737797,9339
10005,2022,22001.1086512614,186768
10006,2022,14114.4600440286,2630
10007,2022,20336.7670867178,102717
10008,2022,16229.2985906471,10079
10009,2022,15268.17126370377,2880
10010,2022,14567.17601188967,1185
10011,2022,14600.49838862177,1440
10012,2022,19466.18947439207,44713
10013,2022,18451.20237937107,6935
10014,2022,9605.606178955966,9316
10015,2022,16763.33736913553,3521
10016,2022,16476.8782379353,5296
10017,2022,17153.90066299777,2646
10018,2022,18443.48694885827,3258
10019,2022,12864.74669864367,1153
10020,2022,13687.1512083733,3621
10021,2022,13590.7894906154,3026
10022,2022,15848.27781612377,6855
10023,2022,5941.8164640635,12062
10024,2022,13370.67637841553,3471
10025,2022,14417.4889523605,977
10026,2022,10834.77824488237,4522
10027,2022,10361.0097996869,1473
10028,2022,15275.1078586096,3124
10029,2022,11499.74010822323,590
10030,2022,11314.2217966133,491
10031,2022,13540.5190006121,1886
10032,2022,17851.86591969627,13559
10033,2022,13772.16040577967,1859
10034,2022,13426.13254314157,6103
10035,2022,16909.7217565877,3471
10036,2022,17247.2062247251,5686
10037,2022,12572.2268998701,2310
10038,2022,18123.47330251256,6363
10039,2022,16671.43823574573,7429
11001,2022,15391.56660293433,22275
11002,2022,16644.9351483454,30171
11003,2022,16058.33170745057,44543
11004,2022,15463.2470393965,16165
11005,2022,18236.02167254637,31264
11006,2022,11084.40385893537,1558
11007,2022,19027.76385235507,143420
11008,2022,14294.0145051968,11183
11009,2022,17181.23958251333,19536
11010,2022,16812.89053736717,3133
11011,2022,18856.79811093407,25373
11012,2022,15992.1719754406,8160
11013,2022,20875.90277828017,6761
11014,2022,17886.6946415503,38964
11015,2022,23670.5573546932,51675
11016,2022,15916.4889516715,5372
11017,2022,20449.7112790945,151888
11018,2022,16354.88437111107,9994
11019,2022,12729.80208283233,13760
11020,2022,23522.33731394753,440662
11021,2022,16794.40151705993,14271
11022,2022,17180.01486682287,6134
11023,2022,16348.3123159673,39604
11024,2022,17942.2121375021,3281
11025,2022,24011.2261589946,19865
11026,2022,16435.6356184052,16202
11027,2022,20748.65439338733,74971
11028,2022,17718.57432425643,25786
11029,2022,17260.28640240303,10165
11030,2022,15968.02801917793,27991
11031,2022,21198.35248789303,32211
11032,2022,23147.68581387274,22741
11033,2022,19462.9359134934,30386
11034,2022,15577.796008259,1550
11035,2022,17099.0564387067,19426
11036,2022,17784.24867009733,2002
11037,2022,23284.7401147986,46602
11038,2022,18120.00577051067,3189
11039,2022,15490.9033770052,10193
