cve_edo,year,formalidad
20,2025,78.729615
21,2025,71.337745
22,2025,41.05075
23,2025,43.7122375
24,2025,56.28658
25,2025,47.035725
26,2025,43.4018675
27,2025,66.9670025
28,2025,45.684555
29,2025,71.37930499999999
30,2025,69.66633999999999
31,2025,58.58944
32,2025,59.2891125
