CVEGEO,ingreso_2022,hogares
07036,9800.552179980266,1537
07037,15380.2610757749,9562
07038,8551.5095487344,4599
07039,9516.1892484871,6278
07040,16507.1344183579,14269
07041,8130.174255874367,11084
07042,9306.103911399534,2607
07043,12624.85080993397,2659
07044,10062.537453412,6166
07045,10060.29251543243,1533
07046,12970.05156830177,11277
07047,9276.9063259434,5441
07048,15416.34655125493,6094
07049,8271.557603072666,5986
07050,12574.42339206483,1586
07051,13181.1781640673,12775
07052,6286.318717870833,28902
07053,10503.11542994477,1695
07054,12666.3203314553,7814
07055,12459.91369700177,1574
07056,8500.545432998768,2710
07057,12249.7530190477,16607
07058,7362.264709607367,1049
07059,10345.39039119607,46858
07060,8000.641843645732,2927
07061,14421.9505631364,23902
07062,11667.24956063033,4487
07063,9836.1486990025,1042
07064,8173.448955462133,10102
07065,13241.97443119463,33695
07066,7776.2618601189,4929
07067,9998.484814502866,2936
07068,17995.06375426213,8600
07069,14314.24891916547,14935
07070,8865.569467853666,2403
07071,12222.1251276855,7679
07072,9588.976175509333,6503
07073,9864.586076441201,2404
07074,20312.46697181467,12520
07075,11611.9467623008,7227
07076,7956.803285510534,6774
07077,9731.187695968734,14749
07078,18190.18182110227,52666
07079,11589.40488746543,10482
07080,8265.749704783366,5206
07081,9156.3512186032,10715
07082,7204.516954741266,3221
07083,10341.02807019903,5061
07084,10515.31262940833,2058
07085,9813.168967237167,2567
07086,14860.3178488454,6362
07087,14692.7313531633,11041
07088,9163.3968251152,561
07089,16146.91031435063,96211
07090,9420.5418958558,1100
07091,12116.35196597833,3459
07092,12498.9228029559,5798
07093,8507.789856441766,9206
07094,11587.17702597733,11176
07096,8273.3122931896,17994
07097,14601.12798288107,25567
07098,8210.945642550067,1735
07099,10635.95869723693,20860
07100,8586.6986404822,7967
07101,20803.7348009362,166151
07102,12511.33244831723,10632
07103,10997.2342463461,7709
07104,10255.20488980237,4669
07105,10978.24006834383,3936
07106,11169.996007354,17901
07107,9192.680735502334,16820
07108,14333.22900937793,29270
07109,13429.89990420067,8748
07110,7405.804378133933,1831
07111,8915.208024209767,9128
07112,6383.733311865833,6960
07113,7167.196055526633,1653
07114,12071.99314766317,5473
07115,10520.62935628033,2951
07116,8617.259523207067,2897
07117,6799.979338483733,1829
07118,8097.696515598567,1311
07119,7148.856643758267,911
07120,10697.47328631303,805
07121,9091.596498148434,1847
07122,10209.82681866563,4265
07123,10068.57313852153,2839
07124,11041.3949760708,5809
07125,9822.8401501641,2344
08001,29321.34757644474,4227
08002,21316.4244532323,8238
08003,20497.7690002467,2746
08004,18756.44612017093,7102
08005,21479.7129653873,7923
08006,18789.32939112747,2002
08007,11597.68720672207,4314
08008,8928.576467931167,2823
08009,17406.67699654833,7543
08010,22374.3672330609,7828
08011,17893.1442769325,15672
08012,13582.25244049157,2230
08013,20044.11482067547,3708
08014,19530.9889447202,673
08015,19551.28313085033,445
08016,18986.7328570386,1166
08017,26121.96487881893,56914
08018,28727.6476131549,1700
08019,31142.57531102783,300786
08020,16464.09220777913,1787
08021,24224.30020804297,47679
08022,15579.6996314372,958
08023,22314.50647458763,1821
08024,23819.29531991367,1290
08025,20868.80730658597,2549
08026,20458.62838056593,913
08027,8945.656855141033,13503
08028,25388.00549930073,1364
08029,11045.1180776991,12221
08030,10585.99016570487,2222
08031,18410.53428275536,11820
08032,24561.49244150793,34411
08033,14209.87057886283,281
08034,18731.05124364777,1952
08035,21797.98551179397,3232
08036,18761.95573270933,11831
08037,30581.03521455457,449452
08038,14392.07777758737,1686
08039,19235.80762933427,1286
08040,21810.93030747753,8123
08041,11516.43918782033,452
08042,19611.4431239403,469
08043,16348.3966980531,990
08044,18684.7526240427,1373
08045,14722.95660094127,13837
08046,10297.9724218662,1868
08047,11135.45775482163,1344
08048,19538.64989454986,7744
08049,14104.3813857921,840
08050,24064.5875921763,20932
08051,17609.38570806227,2377
08052,23513.9142803545,8218
08053,14313.5885220528,1677
08054,31235.2021491573,2180
08055,16948.4788397727,5320
08056,14257.5534091972,681
08057,15466.23275390333,799
08058,18803.84046764147,929
08059,24089.82056518043,1559
08060,18262.66148644253,3451
08061,24700.7324394484,1222
08062,19936.8945378678,9045
08063,13481.52476846,1862
08064,16591.89550128053,472
08065,12191.7027924053,4789
08066,10961.34337670697,1882
08067,20014.92428432464,1662
09002,26481.47318140423,134168
09003,31767.70483834243,191517
09004,30484.3386334011,60436
09005,25565.25120128383,340155
09006,26983.205043938,117720
09007,24285.30933037397,504365
09008,28841.72201058103,68089
09009,18115.790627496,39100
09010,31604.41105413293,219354
09011,20408.01638346117,106935
09012,30492.1005558555,202318
09013,23305.46176458086,117113
09014,53845.05556758267,176053
09015,34567.33041659666,196466
09016,39982.43875363367,146762
09017,26743.68642454686,135768
10001,15325.4706131788,8728
10002,12131.13118974717,1159
10003,10576.24441090963,1057
10004,17787.23181737797,9339
10005,22001.1086512614,186768
10006,14114.4600440286,2630
10007,20336.7670867178,102717
10008,16229.2985906471,10079
10009,15268.17126370377,2880
10010,14567.17601188967,1185
10011,14600.49838862177,1440
10012,19466.18947439207,44713
10013,18451.20237937107,6935
10014,9605.606178955966,9316
10015,16763.33736913553,3521
10016,16476.8782379353,5296
10017,17153.90066299777,2646
10018,18443.48694885827,3258
10019,12864.74669864367,1153
10020,13687.1512083733,3621
10021,13590.7894906154,3026
10022,15848.27781612377,6855
10023,5941.8164640635,12062
10024,13370.67637841553,3471
10025,14417.4889523605,977
10026,10834.77824488237,4522
10027,10361.0097996869,1473
10028,15275.1078586096,3124
10029,11499.74010822323,590
10030,11314.2217966133,491
10031,13540.5190006121,1886
10032,17851.86591969627,13559
10033,13772.16040577967,1859
10034,13426.13254314157,6103
10035,16909.7217565877,3471
10036,17247.2062247251,5686
10037,12572.2268998701,2310
10038,18123.47330251256,6363
10039,16671.43823574573,7429
11001,15391.56660293433,22275
11002,16644.9351483454,30171
11003,16058.33170745057,44543
11004,15463.2470393965,16165
11005,18236.02167254637,31264
11006,11084.40385893537,1558
11007,19027.76385235507,143420
11008,14294.0145051968,11183
11009,17181.23958251333,19536
11010,16812.89053736717,3133
11011,18856.79811093407,25373
11012,15992.1719754406,8160
11013,20875.90277828017,6761
11014,17886.6946415503,38964
11015,23670.5573546932,51675
11016,15916.4889516715,5372
11017,20449.7112790945,151888
11018,16354.88437111107,9994
11019,12729.80208283233,13760
11020,23522.33731394753,440662
11021,16794.40151705993,14271
11022,17180.01486682287,6134
11023,16348.3123159673,39604
11024,17942.2121375021,3281
11025,24011.2261589946,19865
11026,16435.6356184052,16202
11027,20748.65439338733,74971
11028,17718.57432425643,25786
11029,17260.28640240303,10165
11030,15968.02801917793,27991
11031,21198.35248789303,32211
11032,23147.68581387274,22741
11033,19462.9359134934,30386
11034,15577.796008259,1550
11035,17099.0564387067,19426
11036,17784.24867009733,2002
11037,23284.7401147986,46602
11038,18120.00577051067,3189
11039,15490.9033770052,10193
11040,12486.50440925457,4904
11041,11183.10050237983,17350
11042,16694.17549645237,37795
11043,16528.10578005496,5471
11044,19633.03225708733,16398
11045,11681.5206558011,3011
11046,14922.5470010952,19175
12001,14563.8030625673,223924
12002,9623.808087359399,5777
12003,10491.29259245563,9265
12004,9094.4195455345,4038
12005,11613.00245667573,1923
12006,12109.03440388827,2911
12007,13968.1542079048,8950
12008,11072.18540366647,2460
12009,11082.34672661073,1274
12010,7176.627969305767,6878
12011,5754.579273111033,17766
12012,13273.0207294403,15816
12013,11150.0042483299,4306
12014,12113.13717286257,5067
12015,13370.1095295321,4027
12016,10188.9801779451,3482
12017,15659.82936080233,4302
12018,12086.2099526845,4168
12019,9504.1207745095,3481
12020,6930.557609123367,4590
12021,12783.51647214623,21377
12022,13050.3298487612,10730
12023,12892.53154203423,7445
12024,11186.5251697577,1971
12025,11105.37159277127,4385
12026,9747.602792549033,2419
12027,11710.56790010573,6209
12028,14412.15749079103,29650
12029,19938.41638972703,72480
12030,13742.51090014187,5742
12031,11226.82109156767,1601
12032,10014.21274058727,8464
12033,12695.71734438127,4620
12034,13233.91003210133,10531
12035,18777.173545099,42874
12036,12030.82792750067,3021
12037,12948.36631312367,1685
12038,16977.09594893923,37359
12039,12761.09182964727,7148
12040,9315.191017037134,6421
12041,11863.9257199484,6742
12042,11028.87037221407,4868
12043,10441.02296045107,3890
12044,13055.07922088047,3263
12045,10110.26992211703,6666
12046,13596.4771657562,17229
12047,10043.1935015442,1684
12048,10783.52242110903,12972
12049,12224.0179097913,3583
12050,14740.07188317517,10209
12051,11508.00028625727,8969
12052,12006.49818053087,10594
12053,10692.88185618367,13959
12054,10323.15416711887,5749
12055,13999.86568378403,29987
12056,14418.3459751998,11575
12057,13918.37853977383,19717
12058,14693.4256985456,13901
12059,12660.6329303363,8803
12060,10924.21454300114,3738
12061,16686.44327387727,11055
12062,10135.2555614066,4932
12063,11166.6687825496,2537
12064,12489.31106065647,3422
12065,11551.14396282023,1890
12066,15338.7981139786,21604
12067,15078.8534856521,5860
12068,14701.05881799087,7708
12069,10877.65810150837,2524
12070,11931.99512625623,2029
12071,9586.264545880667,7710
12072,11863.45998260143,3028
12073,12870.11590312347,4972
12074,11947.00555689543,5806
12075,14832.91456079887,12500
12076,8503.300972096667,8938
12077,12290.0165814069,3920
12078,8822.079575384932,4166
12079,9033.7730926406,3958
12080,12666.9211761363,2139
12081,9645.523663193266,2710
13001,14121.53109450027,5869
13002,12038.95345126147,10442
13003,17850.19553670384,16266
13004,13816.2213628468,2854
13005,18571.61718952413,5174
13006,13551.6860621002,5521
13007,15188.75436898637,3560
13008,15391.17773398793,12927
13009,15442.57992586327,5258
13010,21988.78485574543,8714
13011,12520.72360498427,5304
13012,16255.52063426953,8380
13013,18043.1503339712,17766
13014,12873.01752074293,4736
13015,13631.50510917993,5189
13016,14527.3296553176,16085
13017,11850.70629187297,3887
13018,10703.19214511753,6256
13019,14642.914760083,5158
13020,11982.23969005923,847
13021,15614.2469383474,4158
13022,19063.877942096,4834
13023,16896.00894636493,9700
13024,15800.96155084283,4744
13025,11851.45395489057,5541
13026,9499.200032012966,3035
13027,8401.363742277566,6266
13028,17025.77283256537,31513
13029,17527.3925602013,12880
13030,16832.67363065987,26586
13031,12276.04014460507,3744
13032,12189.16093834587,2667
13033,12161.820994371,955
13034,14622.09365850937,2603
13035,13915.82997579847,3272
13036,18567.3690719082,2834
13037,13524.03320146987,6233
13038,14368.97491130343,2533
13039,20176.4333728418,3688
13040,10419.29626133827,2929
13041,16985.76420843787,12703
13042,15198.44506110443,3336
13043,11673.7746988437,1755
13044,14237.22498180683,5145
13045,15521.96706696993,2506
13046,11634.91608261097,10227
13047,11971.52246674577,1430
13048,24024.14691322543,93242
13049,11963.10135904703,4878
13050,18548.26083300253,6308
13051,22271.7291934439,63885
13052,19430.03575302377,10401
13053,10301.2727378953,5001
13054,14514.70908258863,9807
13055,15480.56718398437,5050
13056,16527.89555229733,11135
13057,16263.6403009101,4096
13058,14737.17320044503,5096
13059,14600.58068404286,10216
13060,12029.2430753266,4628
13061,21599.28091909927,16487
13062,10657.0197607544,7490
13063,20249.41444187493,24686
13064,14009.4414726286,3257
13065,18300.7534193572,3088
13066,19120.6682983805,3444
13067,16740.91492751207,14843
13068,11288.84602564,4026
13069,18259.83920553456,47529
13070,19058.16220790367,4917
13071,10801.3919747439,2850
13072,18233.55272595533,3187
13073,11017.41487997733,9550
13074,18759.90615575993,7034
13075,16865.849221898,6014
13076,19516.7276576844,33318
13077,18247.27497048747,45953
13078,7294.914125843033,4361
13079,14405.22490079373,2207
13080,9951.535066266033,6277
13081,18000.54643554913,10594
13082,17340.3530789681,5849
13083,23529.5172238591,17477
13084,18203.5823102678,10983
14001,21283.41764208903,6408
14002,22886.9220172802,6372
14003,19955.45794426587,6519
14004,19436.45093314367,1588
14005,24412.4653844421,4213
14006,19412.88705461897,17361
14007,15996.347290348,2665
14008,22024.79328322327,22770
14009,20508.19426759387,5681
14010,17882.86370433027,1820
14011,14060.64848138293,1530
14012,17964.48042195593,1311
14013,20476.13839401937,17398
14014,17948.8261553772,2535
14015,24755.44280800804,18887
14016,17918.4716773189,10738
14017,16639.65860639234,3539
14018,24147.09518211594,17717
14019,14128.55140102513,1617
14020,16739.5437644388,3182
14021,19486.9764619226,6239
14022,22517.6631453893,11530
14023,25842.96101022687,31449
14024,20380.9014359407,8131
14025,19184.0832476704,5721
14026,15497.01507119533,1847
14027,12609.99521438173,4961
14028,18016.7751448676,678
14029,16978.05891977123,4923
14030,24250.29312645564,16339
14031,13677.4845345455,891
14032,14367.40303507503,1468
14033,19247.0771083761,5934
14034,15739.5730779637,659
14035,17758.56501216433,14385
14036,20737.19775239557,5377
14037,21346.83608782303,7458
14038,18042.00591518567,1270
14039,25890.02605714543,398543
14040,15272.68475220493,2306
14041,16541.58310703267,1779
14042,15931.50212245503,2691
14043,19671.58138069023,7002
14044,18593.18473237387,19707
14045,21178.83586779413,5758
14046,21122.14454452484,8931
14047,17113.95961399173,6227
14048,22772.53024928397,5419
14049,13107.9136797024,2551
14050,20163.75231243804,11057
14051,17543.618822095,8701
14052,16365.07763525013,1603
14053,21706.66820299613,45022
14054,17927.38367644877,1790
14055,19090.42912723173,5855
14056,13280.735491909,573
14057,18234.04044905067,1248
14058,19748.30889360423,4312
14059,19932.39116111793,3676
14060,16152.2578870311,1634
14061,12573.40253101453,4715
14062,19435.8590235927,1079
14063,20935.73788871496,29112
14064,15659.82417546517,8292
14065,17873.41764315166,3560
14066,18813.48228773537,12367
14067,26153.4754462194,86523
14068,16592.83126491803,3431
14069,15604.5196058918,2402
14070,21765.991769303,59134
14071,17964.0766170883,815
14072,16005.17106161213,1980
14073,22091.79352888263,18652
14074,18777.37197762117,4784
14075,15986.67605157693,1029
14076,14328.41712439377,861
14077,20241.86257943463,8122
14078,21902.60719810737,8824
14079,18924.23705664017,3937
14080,17419.60069263363,1578
14081,13143.89371650663,1081
14082,20315.80569174987,9439
14083,22592.16151329194,24941
14084,18046.6397914506,4393
14085,25883.9311096318,11553
14086,19726.94459200726,4831
14087,17216.17357597667,4881
14088,20317.51318183813,4998
14089,18945.9934639648,1096
14090,20755.162588459,2259
14091,17738.13107295107,11045
14092,19053.24983882323,3277
14093,24412.46114952297,40868
14094,22751.70254073313,11140
14095,18752.2940513522,2711
14096,16370.21790738317,6311
14097,23145.8507260482,212301
14098,25425.23307958193,185279
14099,16804.47360342257,2618
14100,16652.34874742477,10378
14101,22864.05643402777,150488
14102,19096.23165782107,1810
14103,17027.78128652127,2154
14104,16915.76791783427,1329
14105,19822.3430163879,6478
14106,20807.12596481617,1283
14107,18073.3700458247,1755
14108,18524.57488039804,9649
14109,19596.06157077753,4941
14110,19931.94761054927,4125
14111,21404.7613207059,1858
14112,20773.5406562966,1881
14113,20125.737361558,4207
14114,19468.09483968917,5086
14115,15431.57593635917,1658
14116,16104.05049997967,5610
14117,17201.87064713697,1396
14118,18675.70267452037,6933
14119,20837.6997350483,7743
14120,28535.7758868383,425194
14121,19498.20776545853,9041
14122,14638.3957910615,1963
14123,20078.59335832007,5168
14124,20979.57639851683,17972
14125,20665.0734972148,4891
15001,10424.3391079951,17393
15002,17233.16022017003,45395
15003,14590.01864716963,13109
15004,11376.10524574567,4189
15005,13168.8085647714,42209
15006,17984.55611386277,2925
15007,12315.08832585137,6079
15008,10433.96812340797,6936
15009,17639.94490210787,13447
15010,21354.3039284653,8169
15011,14162.82069121537,18733
15012,23746.58900281963,2856
15013,24024.8631870515,150367
15014,18538.7137764095,27878
15015,14169.42389450567,7506
15016,16379.28000591753,7756
15017,15514.29656306717,2591
15018,15925.1321773395,17283
15019,17048.93272232963,8346
15020,23535.30521409314,89711
15021,14947.43029338147,9286
15022,17699.30859665587,3887
15023,17360.42664295077,9865
15024,21206.61481206833,52208
15025,17491.8916450075,104440
15026,13853.89483394223,7853
15027,16463.95655723167,3374
15028,17814.17999815023,7779
15029,16412.6764585901,54664
15030,19152.21622717296,6127
15031,15415.4992092467,180767
15032,11635.22479160993,8467
15033,18680.23350566757,448623
15034,13083.3795941161,2712
15035,19683.35234658487,46672
15036,14790.43685781697,11576
15037,25573.4668513541,82032
15038,18050.8770733337,3016
15039,17501.60684813717,146962
15040,14613.9077782331,9852
15041,10493.5406328636,1679
15042,15987.5316158235,38306
15043,13956.38483441963,7101
15044,16395.1185514893,7638
15045,18638.84935880713,22962
15046,17348.81336632087,5045
15047,12659.12805400327,19033
15048,17135.42898527327,17749
15049,13140.318704887,3592
15050,14328.15514629917,6884
15051,18657.750962621,42543
15052,12403.89161960137,7410
15053,18656.95336293193,15278
15054,23503.06555898013,68140
15055,18392.33528820377,3302
15056,13603.9251876986,8174
15057,26061.28511641243,240186
15058,18032.7812110088,297958
15059,14978.6164230372,15855
15060,18338.89452308286,114765
15061,17994.8991379291,2888
15062,19646.46054339447,17335
15063,12383.34404925167,8791
15064,16062.23878297893,9215
15065,17715.22541881773,9307
15066,12263.93312948233,1271
15067,15441.66176364727,20530
15068,15437.29088992707,7266
15069,16760.9595452539,1231
15070,16869.01960257437,78179
15071,18730.45951778307,4018
15072,16429.92998067497,3772
15073,17291.82959752103,8524
15074,11548.65992444913,32829
15075,17010.36293431137,7703
15076,19503.1468252925,23062
15077,11538.78291940533,1719
15078,12095.68185913923,2631
15079,17679.586769283,3964
15080,11689.49687058367,6185
15081,18964.6698733127,164394
15082,11614.45185729063,19851
15083,17186.58849868443,3731
15084,14594.89827381687,11582
15085,10466.25750405947,17310
15086,12173.81120687393,8632
15087,12912.0570570668,24079
15088,13633.75303818473,25558
15089,16316.99791307803,2876
15090,11894.69235698487,21103
15091,21315.38421711076,16139
15092,19386.85701901733,15798
15093,17746.53107802213,8422
15094,14770.67226390087,5115
15095,20513.7252422168,27116
15096,16760.89215369687,10664
15097,13693.62060184923,4586
15098,15144.89952369727,1450
15099,19758.383161525,72078
15100,14573.20985150083,12202
15101,17912.67746769677,20101
15102,17424.19058172953,4487
15103,16504.77266221687,12817
15104,27659.6780215538,199795
15105,11168.71262312673,8561
15106,21932.67856731587,239734
15107,15873.55631024567,3602
15108,18982.2638694999,42774
15109,17577.64281883977,145951
15110,20560.19231250227,16129
15111,11415.28605162347,12510
15112,14805.15710699147,12925
15113,14970.4027627293,17531
15114,12458.60915729257,24242
15115,16007.2261458133,13112
15116,15692.99320032127,1380
15117,10712.9383269481,3562
15118,13530.03809462373,48807
15119,10514.65268887643,4556
15120,12765.73674262593,78021
15121,26796.07229248777,160806
15122,15587.33322998483,104414
15123,12570.20824492617,7302
15124,10566.87049181243,21812
15125,17146.7094877559,3958
16001,15048.98138204257,2926
16002,13638.8376523097,4312
16003,20699.56815019413,5815
16004,13821.64680365443,4157
16005,12961.87606549483,2652
16006,16226.03956648217,34303
16007,22114.44642838497,884
16008,11945.4595258163,5788
16009,18025.96835556153,9346
16010,15133.51877562533,5754
16011,15997.49355735323,3133
16012,14652.74733904813,12695
16013,11928.21870599823,2523
16014,18575.819005497,4709
16015,15806.67644139817,5299
16016,17792.52244581803,5915
16017,13543.36825580127,9145
16018,14711.35271127647,2407
16019,17606.92779721017,5917
16020,14980.77796113723,7362
16021,13168.90326400157,3591
16022,15139.45939981463,5618
16023,18758.50417438603,3033
16024,13718.75375350037,4819
16025,15572.37989751387,9518
16026,12072.844307907,1320
16027,13403.66133645957,1462
16028,19072.65353792667,1686
16029,11386.82345542017,3159
16030,18443.3395760058,3658
16031,13932.21097215207,4609
16032,13775.17967452423,3946
16033,14801.1087719414,6178
16034,16598.01175922753,31174
16035,12871.13349231767,8397
16036,17053.42764178427,3415
16037,15275.89777864003,2512
16038,16252.98601946587,12188
16039,14831.86220638277,2236
16040,14212.75597321653,4650
16041,14359.00377307817,4159
16042,14053.54506833004,3951
16043,19670.41842043143,17941
16044,17029.27887148727,3944
16045,20315.28613256893,10577
16046,15720.863522106,4082
16047,13485.49106307933,5050
16048,15898.30083159966,1501
16049,14726.68173263187,4656
16050,18631.19534424776,22721
16051,23912.2152768839,4187
16052,21642.0023213279,55731
16053,24541.0777451837,244289
16054,14115.71459257153,2276
16055,15191.18329141107,12043
16056,11355.27878682173,7505
16057,18181.42176787876,2225
16058,17992.5586995132,4872
16059,13208.98811896147,2614
16060,18595.77521195293,2427
16061,15831.26069096303,5905
16062,13593.04701935357,5589
16063,15730.9567054549,4186
16064,13487.92376604933,7195
16065,16487.4507741063,9576
16066,19251.21283560507,24391
16067,13397.6521356496,4835
16068,23465.81165001326,7507
16069,20939.20990004654,29562
16070,21380.6575453062,4464
16071,15644.98070223423,18500
16072,14835.08340007957,3662
16073,14982.6010451894,6921
16074,14586.33352554703,2944
16075,18888.91907216653,21246
16076,19186.9354724718,21580
16077,14261.27119288983,5307
16078,16975.20732243287,3453
16079,15642.53449583567,11627
16080,13965.13454452483,5013
16081,12177.4244871118,2401
16082,20087.97119950773,20397
16083,18588.87153122683,8157
16084,14019.05530858663,7329
16085,20488.53318008587,9607
16086,18680.43504498647,4190
16087,19426.97834611803,4240
16088,15909.95393503987,33143
16089,15386.73136183687,7278
16090,13637.59039723697,3857
16091,16882.26096203877,4196
16092,14002.85425410017,3457
16093,15580.3297884593,7285
16094,21444.23182469287,2052
16095,18661.32135605523,3633
16096,12109.75292844377,1684
16097,13486.8467052908,7711
16098,15511.89104493867,6978
16099,12391.0995530747,3950
16100,14267.15671546983,3728
16101,15700.76598306597,2205
16102,20151.17023484853,94038
16103,15685.45532981203,6552
16104,15123.4187355861,4626
16105,18762.95106933457,5464
16106,18017.82988052887,8350
16107,21216.13702486547,21111
16108,22239.66573875693,58263
16109,19234.09299239517,1014
16110,17268.2424525017,13205
16111,17858.2845411736,4319
16112,17052.8259264561,40655
16113,14053.27374126677,7144
17001,13014.9978184089,4991
17002,20519.05736700563,7056
17003,17568.08822831227,9974
17004,14220.39218278893,25045
17005,13337.2180642766,2995
17006,17978.4444526077,52369
17007,26560.82776060037,114637
17008,19131.32905043044,31145
17009,16629.85067119403,6702
17010,16371.71546330387,5131
17011,23257.9254241122,61598
17012,20163.02836018817,16957
17013,15009.88369107697,4485
17014,15027.7057765844,2900
17015,13783.70877276833,4587
17016,12547.16749755387,4990
17017,16309.15464484823,11305
17018,14508.39310606103,34712
17019,12936.97221308627,7786
17020,15948.4946203263,15579
17021,13612.15819663863,2387
17022,12198.78536689797,3799
17023,12589.52728612313,2050
17024,14063.09676685163,15158
17025,13690.9808979005,10113
17026,17666.44045209197,5085
17027,11793.59249915993,3591
17028,15876.80731830427,19658
17029,20232.0219311167,30536
17030,13487.1345083482,14649
17031,15204.73514116513,10564
17032,13674.4020278402,2832
17033,12491.95938039277,4185
17034,9817.872649575067,2813
17035,10738.30106611607,6340
17036,13664.87970130143,1965
18001,17677.03436345837,10861
18002,17764.0318065277,4819
18003,18264.76276085397,3664
18004,21650.21597271373,23347
18005,10247.90126295137,2796
18006,21130.45432970323,8534
18007,16655.44310714053,5021
18008,21400.58764940847,18664
18009,8714.9928709817,8921
18010,15463.4455011016,10218
18011,15510.59501491707,6927
18012,16581.41355149643,12999
18013,18841.50546099417,2469
18014,18440.46121323474,7130
18015,18569.7234783748,28947
18016,14486.74667378643,11679
18017,25415.29520622723,126186
18018,17602.90954157537,9491
18019,11606.65693761593,3339
18020,26573.14637602103,55258
19001,24686.0007745149,802
19002,20761.2204153088,1274
19003,17580.8272544176,541
19004,22211.5999554462,10703
19005,22154.00137846547,5468
19006,29434.87440855323,181705
19007,14777.2655729303,4273
19008,17345.6085527437,1181
19009,26209.10143331936,37353
19010,17131.7380422508,30041
19011,24057.283603867,2455
19012,25214.153504619,20454
19013,20511.800042577,3268
19014,15361.16864619783,9227
19015,18484.84009236097,493
19016,21242.10366999043,1029
19017,16430.21372275097,11183
19018,22384.33015542973,114892
19019,49691.80120306634,37730
19020,20869.4884154456,1757
19021,26591.6431741182,131731
19022,16029.71878112077,4636
19023,19381.4841879964,660
19024,13028.11684155307,1656
19025,24372.4138988159,29632
19026,30110.32434667756,182500
19027,20298.181270908,731
19028,23024.31144062493,422
19029,18259.91068760213,2164
19030,14938.97554888883,997
19031,22107.12287188397,134428
19032,16370.8649214816,1662
19033,22147.8887048683,24519
19034,23726.9496722974,1441
19035,19872.88322141667,461
19036,11032.8878035682,1881
19037,22276.8359194927,1705
19038,24443.2299532136,20904
19039,35110.49398340833,328908
19040,21827.49149448313,334
19041,21275.21024881247,43678
19042,24273.92881885563,1858
19043,18777.1042087253,772
19044,27158.4441313245,10795
